GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TPO,org.example.third.exception,MissingActionException,0,4,0,0,0,2,0,1,0,1
TPO,org.example.third.exception,MissingEmotionalStateException,0,4,0,0,0,2,0,1,0,1
TPO,org.example.third.exception,MissingBodyPartsException,0,4,0,0,0,2,0,1,0,1
TPO,org.example.third.exception,MissingOwnerException,0,4,0,0,0,2,0,1,0,1
TPO,org.example.third.character,Arthur,0,11,0,0,0,3,0,1,0,1
TPO,org.example.third.character,Unknown,0,20,0,0,0,3,0,1,0,1
TPO,org.example.third.character,EmotionalState,0,39,0,0,0,7,0,1,0,1
TPO,org.example.third.character,Human,0,83,0,6,0,16,0,10,0,7
TPO,org.example.third.furniture,Armchair,0,4,0,0,0,2,0,1,0,1
TPO,org.example.third.furniture,Furniture,0,32,0,2,0,7,0,6,0,5
TPO,org.example.third.furniture,ControlPanel,0,4,0,0,0,2,0,1,0,1
TPO,org.example.third.body,Legs,0,9,0,0,0,3,0,2,0,2
TPO,org.example.third.body,Teeth,0,9,0,0,0,3,0,2,0,2
TPO,org.example.third.body,BodyPart,0,15,0,0,0,3,0,3,0,3
TPO,org.example.third.body,BodyPartType,0,39,0,0,0,7,0,1,0,1
TPO,org.example.third.body,LeftHead,0,9,0,0,0,3,0,2,0,2
TPO,org.example.third.body,Eyes,0,9,0,0,0,3,0,2,0,2
TPO,org.example.third.body,LeftHand,0,9,0,0,0,3,0,2,0,2
TPO,org.example.third.body,RightHead,0,9,0,0,0,3,0,2,0,2
TPO,org.example.third.body,Jaw,0,9,0,0,0,3,0,2,0,2
TPO,org.example.first.math,Sinus,0,120,0,18,0,24,0,12,0,3
TPO,org.example.second.heap,FibonacciHeap,0,308,0,40,0,66,0,28,0,8
TPO,org.example.second.heap,FibonacciHeap.Entry,0,18,0,0,0,6,0,2,0,2
